"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "post"
"Texas_A&M" "SEC" 12 6 6 0.5 0.3834 -3 65.8 89.8 93.6 0.959401709401709 43.5 44.9 0.968819599109131 22.7 21.1 1.07582938388626 27.7 29.6 40 22.4 1.78571428571429 49.1 46.3 23.4 28.9 1913 108 2710 0.528 14 0 0 NA
"Texas_A&M_Corpus_Chris" "Slnd" 15 4 11 0.266666666666667 0.1947 -8 65 91.6 103.7 0.883317261330762 47.8 48.1 0.993762993762994 25.8 17.7 1.45762711864407 30 29.1 32.1 36.7 0.874659400544959 42.2 48.4 37 31.8 2003 18 540 0.515 1 0 0 NA
"Texas_Southern" "SWAC" 15 7 8 0.466666666666667 0.2618 -5.4 75.1 97 106.1 0.914231856738926 42.8 52.4 0.816793893129771 22 19.7 1.11675126903553 31.3 34 34.5 34.6 0.997109826589595 42.6 50.3 28.7 37.4 1978 43 1266 0.494 8 0 0 NA
"Texas_St." "SB" 15 8 7 0.533333333333333 0.5666 -4.6 66.2 100.1 97.8 1.02351738241309 47.6 47.4 1.0042194092827 18.6 21.2 0.877358490566038 27.7 31.4 39.9 41.8 0.954545454545455 47.3 43.1 32.3 36.4 1985 36 1043 0.453 2 0 0 NA
"Texas_Tech" "B12" 14 10 4 0.714285714285714 0.8457 0.3 68.3 103.6 89.4 1.15883668903803 51.1 45.6 1.12061403508772 18.8 23.5 0.8 29.1 24.7 38.1 28.6 1.33216783216783 51.7 42.9 33.4 33.4 1926 92 2462 0.562 17 1 0 NA
"The_Citadel" "SC" 14 6 8 0.428571428571429 0.1884 -5.4 74.7 97.1 110.3 0.880326382592928 51.1 54.6 0.935897435897436 19.4 18.1 1.07182320441989 23.6 30.2 27.7 28.9 0.958477508650519 50 60.3 34.9 30.8 1913 108 2377 0.422 0 0 0 NA
"Toledo" "MAC" 16 8 8 0.5 0.5675 -3.9 69.2 103.7 101.3 1.02369200394867 50.6 46.9 1.07889125799574 19.1 18.2 1.04945054945055 30.5 29.9 40.4 25.4 1.59055118110236 46.3 44.6 37.6 34 1916 105 2549 0.574 4 0 0 NA
"Towson" "CAA" 14 7 7 0.5 0.4451 -5.3 66.7 97.6 99.5 0.980904522613065 45.9 48.7 0.942505133470226 19.2 16.1 1.19254658385093 29.6 26.2 33.3 32.5 1.02461538461538 45.4 48.9 31.2 32.2 1980 41 1203 0.417 2 0 0 NA
"Troy" "SB" 14 6 8 0.428571428571429 0.3228 -7.6 70.4 96.5 102.9 0.937803692905734 45.5 50.5 0.900990099009901 19.6 21.8 0.899082568807339 29.9 33.2 27.6 37.3 0.739946380697051 43.9 50.4 31.8 33.7 1994 27 792 0.475 2 0 0 NA
"Tulane" "Amer" 16 11 5 0.6875 0.5447 -2.1 68.5 103.5 101.9 1.01570166830226 50.4 52.9 0.952741020793951 16.9 24.2 0.698347107438017 24.6 30.4 38.1 23.3 1.63519313304721 47.2 54 36.9 34.4 1906 110 2531 0.485 3 0 0 NA
