"YEAR" "TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "POSTSEASON" "post"
"2015" "Arizona" "P12" 38 34 4 0.894736842105263 0.97 9 66.7 117.5 86.9 1.35212888377445 53.5 45.1 1.18625277161863 16.5 20.6 0.800970873786408 34.5 22.4 47.1 37.3 1.2627345844504 53.3 42.7 36 33.5 1905 113 2735 0.657 35 4 1 "E8" "yes"
"2015" "Arizona_St." "P12" 34 18 16 0.529411764705882 0.7711 -3.8 66.3 107.9 97.1 1.11122554067971 50.9 50.2 1.01394422310757 20.7 19.1 1.08376963350785 31.8 25.1 42.1 34.1 1.23460410557185 49.9 48.6 35 36.2 1912 105 2552 0.532 16 0 0 "no_postseason" "no"
"2015" "Arkansas" "SEC" 36 27 9 0.75 0.8696 3.9 69.9 113.2 96 1.17916666666667 50 48.3 1.0351966873706 16.9 22.3 0.757847533632287 35.7 34.6 37.3 38.8 0.961340206185567 48.8 46.2 34.9 35.2 1924 97 2655 0.64 32 6 1 "R32" "yes"
"2015" "Arkansas_Pine_Bluff" "SWAC" 32 12 20 0.375 0.1035 -15.1 64.1 90.1 108.7 0.828886844526219 46.3 51.2 0.904296875 23.5 24.9 0.943775100401607 30.5 39.5 35.6 48.8 0.729508196721312 44.2 48.8 33.3 36.9 1999 22 649 0.302 1 0 0 "no_postseason" "no"
"2015" "Arkansas_St." "SB" 28 10 18 0.357142857142857 0.188 -13 66 93.5 106.2 0.880414312617702 45.3 48.3 0.937888198757764 20 17.6 1.13636363636364 29.7 32.7 33 34.7 0.951008645533141 44.1 47.6 32 33.1 1971 50 1434 0.514 1 0 0 "no_postseason" "no"
"2015" "Army" "Pat" 29 14 15 0.482758620689655 0.2739 -10.9 69.9 97.4 106.1 0.918001885014138 50 51 0.980392156862745 19.1 18.9 1.01058201058201 29.7 31.5 32 40.7 0.786240786240786 51.1 49.9 32.2 35.8 1903 118 2501 0.496 0 0 0 "no_postseason" "no"
"2015" "Auburn" "SEC" 34 14 20 0.411764705882353 0.6016 -6.9 67.9 105.3 101.6 1.03641732283465 46.9 52.5 0.893333333333333 18.9 21.3 0.887323943661972 27.6 34.1 48.8 41.9 1.16467780429594 43.4 53.8 35 33.3 1906 114 2580 0.534 10 1 0 "no_postseason" "no"
"2015" "Austin_Peay" "OVC" 28 6 22 0.214285714285714 0.1662 -16.7 67.2 93.1 107.1 0.869281045751634 44.5 54.9 0.810564663023679 20.8 20.3 1.02463054187192 31.8 29.2 41.6 38.4 1.08333333333333 44.2 53.2 30.1 38.6 1964 57 1621 0.5 7 0 0 "no_postseason" "no"
"2015" "Ball_St." "MAC" 29 6 23 0.206896551724138 0.2942 -15.8 64 98.9 106.7 0.926897844423618 48.9 52.4 0.933206106870229 21.6 18.2 1.18681318681319 29.9 28.6 35.4 42.1 0.840855106888361 47.7 51.8 33.6 35.7 1972 49 1425 0.531 7 0 0 "no_postseason" "no"
"2015" "Baylor" "B12" 33 23 10 0.696969696969697 0.9316 5 62.1 116.3 92.7 1.25458468176915 49.8 45.8 1.08733624454148 20.1 19.3 1.04145077720207 41.9 31.5 38.6 32.1 1.20249221183801 46.1 46.4 38.2 29.8 1907 114 2735 0.498 12 2 0 "R64" "yes"
"2015" "Belmont" "OVC" 32 21 11 0.65625 0.5497 -4.7 67.6 108.7 106.8 1.01779026217228 56.5 51.3 1.10136452241715 20.3 18.5 1.0972972972973 28.9 29.6 32.2 28.2 1.14184397163121 56.4 51.2 37.7 34.3 2000 21 649 0.653 8 0 0 "R64" "yes"
